,path,source,actor,gender,emotion,emotion_lb
29,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-02-01-02-01.wav,Ravdess,1,male,8,surprised
30,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-07-01-02-01-01.wav,Ravdess,1,male,7,disgust
31,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-02-02-01-01.wav,Ravdess,1,male,5,angry
32,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-07-02-02-01-01.wav,Ravdess,1,male,7,disgust
33,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-06-01-01-01-01.wav,Ravdess,1,male,6,fearful
34,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-01-02-01-01.wav,Ravdess,1,male,8,surprised
35,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-07-02-01-01-01.wav,Ravdess,1,male,7,disgust
36,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-01-01-01-01.wav,Ravdess,1,male,8,surprised
37,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-07-01-02-02-01.wav,Ravdess,1,male,7,disgust
38,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-06-02-02-02-01.wav,Ravdess,1,male,6,fearful
39,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-02-02-02-01.wav,Ravdess,1,male,5,angry
40,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-07-01-01-02-01.wav,Ravdess,1,male,7,disgust
41,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-06-02-01-01-01.wav,Ravdess,1,male,6,fearful
42,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-06-02-01-02-01.wav,Ravdess,1,male,6,fearful
43,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-07-01-01-01-01.wav,Ravdess,1,male,7,disgust
44,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-06-01-02-02-01.wav,Ravdess,1,male,6,fearful
45,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-07-02-02-02-01.wav,Ravdess,1,male,7,disgust
46,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-06-01-01-02-01.wav,Ravdess,1,male,6,fearful
47,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-02-01-02-01.wav,Ravdess,1,male,5,angry
48,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-01-02-01-01.wav,Ravdess,1,male,5,angry
49,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-01-02-02-01.wav,Ravdess,1,male,5,angry
50,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-02-01-01-01.wav,Ravdess,1,male,8,surprised
51,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-02-02-02-01.wav,Ravdess,1,male,8,surprised
52,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-01-01-02-01.wav,Ravdess,1,male,8,surprised
53,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-01-02-02-01.wav,Ravdess,1,male,8,surprised
54,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-06-01-02-01-01.wav,Ravdess,1,male,6,fearful
55,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-01-01-02-01.wav,Ravdess,1,male,5,angry
56,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-02-02-01-01.wav,Ravdess,1,male,8,surprised
57,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-06-02-02-01-01.wav,Ravdess,1,male,6,fearful
58,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-07-02-01-02-01.wav,Ravdess,1,male,7,disgust
59,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-02-01-01-01.wav,Ravdess,1,male,5,angry
60,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-02-02-01-02.wav,Ravdess,2,female,2,calm
61,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-02-01-02-02.wav,Ravdess,2,female,2,calm
62,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-01-01-02-02.wav,Ravdess,2,female,2,calm
63,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-02-01-01-02.wav,Ravdess,2,female,2,calm
64,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-01-01-01-02-02.wav,Ravdess,2,female,1,neutral
65,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-01-01-02-01-02.wav,Ravdess,2,female,1,neutral
66,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-01-02-01-02.wav,Ravdess,2,female,2,calm
67,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-01-02-02-02.wav,Ravdess,2,female,2,calm
68,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-01-01-01-02.wav,Ravdess,2,female,2,calm
69,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-01-01-01-01-02.wav,Ravdess,2,female,1,neutral
70,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-01-01-02-02-02.wav,Ravdess,2,female,1,neutral
71,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-05-02-01-01-02.wav,Ravdess,2,female,5,angry
72,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-05-01-01-01-02.wav,Ravdess,2,female,5,angry
73,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-06-01-02-01-02.wav,Ravdess,2,female,6,fearful
74,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-04-02-01-02-02.wav,Ravdess,2,female,4,sad
75,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-05-01-02-01-02.wav,Ravdess,2,female,5,angry
76,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-04-01-02-02-02.wav,Ravdess,2,female,4,sad
77,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-04-01-01-01-02.wav,Ravdess,2,female,4,sad
78,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-05-01-01-02-02.wav,Ravdess,2,female,5,angry
79,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-02-02-02-02.wav,Ravdess,2,female,2,calm
80,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-05-02-02-02-02.wav,Ravdess,2,female,5,angry
81,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-05-02-01-02-02.wav,Ravdess,2,female,5,angry
82,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-03-01-01-01-02.wav,Ravdess,2,female,3,happy
83,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-06-01-02-02-02.wav,Ravdess,2,female,6,fearful
84,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-03-01-02-02-02.wav,Ravdess,2,female,3,happy
85,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-06-01-01-01-02.wav,Ravdess,2,female,6,fearful
86,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-03-02-01-01-02.wav,Ravdess,2,female,3,happy
87,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-05-01-02-02-02.wav,Ravdess,2,female,5,angry
88,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-03-02-01-02-02.wav,Ravdess,2,female,3,happy
89,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-03-01-02-01-02.wav,Ravdess,2,female,3,happy
90,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-04-02-02-01-02.wav,Ravdess,2,female,4,sad
91,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-04-01-01-02-02.wav,Ravdess,2,female,4,sad
92,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-03-02-02-02-02.wav,Ravdess,2,female,3,happy
93,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-04-02-02-02-02.wav,Ravdess,2,female,4,sad
94,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-04-01-02-01-02.wav,Ravdess,2,female,4,sad
95,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-04-02-01-01-02.wav,Ravdess,2,female,4,sad
96,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-05-02-02-01-02.wav,Ravdess,2,female,5,angry
97,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-03-02-02-01-02.wav,Ravdess,2,female,3,happy
98,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-03-01-01-02-02.wav,Ravdess,2,female,3,happy
99,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-06-01-01-02-02.wav,Ravdess,2,female,6,fearful
100,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-06-02-02-01-02.wav,Ravdess,2,female,6,fearful
101,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-07-01-01-02-02.wav,Ravdess,2,female,7,disgust
102,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-06-02-01-01-02.wav,Ravdess,2,female,6,fearful
103,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-06-02-02-02-02.wav,Ravdess,2,female,6,fearful
104,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-06-02-01-02-02.wav,Ravdess,2,female,6,fearful
105,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-07-01-01-01-02.wav,Ravdess,2,female,7,disgust
106,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-07-01-02-02-02.wav,Ravdess,2,female,7,disgust
107,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-07-01-02-01-02.wav,Ravdess,2,female,7,disgust
108,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-08-02-02-02-02.wav,Ravdess,2,female,8,surprised
109,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-08-02-01-02-02.wav,Ravdess,2,female,8,surprised
110,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-08-01-02-01-02.wav,Ravdess,2,female,8,surprised
111,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-08-02-01-01-02.wav,Ravdess,2,female,8,surprised
112,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-08-02-02-01-02.wav,Ravdess,2,female,8,surprised
113,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-07-02-01-02-02.wav,Ravdess,2,female,7,disgust
114,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-07-02-02-01-02.wav,Ravdess,2,female,7,disgust
115,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-07-02-01-01-02.wav,Ravdess,2,female,7,disgust
116,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-07-02-02-02-02.wav,Ravdess,2,female,7,disgust
117,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-08-01-02-02-02.wav,Ravdess,2,female,8,surprised
118,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-08-01-01-02-02.wav,Ravdess,2,female,8,surprised
119,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-08-01-01-01-02.wav,Ravdess,2,female,8,surprised
120,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-05-01-02-01-03.wav,Ravdess,3,male,5,angry
121,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-02-02-02-01-03.wav,Ravdess,3,male,2,calm
122,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-01-01-01-02-03.wav,Ravdess,3,male,1,neutral
123,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-04-01-01-02-03.wav,Ravdess,3,male,4,sad
124,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-01-01-02-01-03.wav,Ravdess,3,male,1,neutral
125,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-03-02-02-01-03.wav,Ravdess,3,male,3,happy
126,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-01-01-02-02-03.wav,Ravdess,3,male,1,neutral
127,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-04-02-02-02-03.wav,Ravdess,3,male,4,sad
128,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-04-02-02-01-03.wav,Ravdess,3,male,4,sad
129,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-04-01-02-02-03.wav,Ravdess,3,male,4,sad
130,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-05-01-02-02-03.wav,Ravdess,3,male,5,angry
131,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-05-01-01-02-03.wav,Ravdess,3,male,5,angry
132,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-02-01-01-02-03.wav,Ravdess,3,male,2,calm
133,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-03-01-02-02-03.wav,Ravdess,3,male,3,happy
134,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-04-02-01-01-03.wav,Ravdess,3,male,4,sad
135,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-05-02-01-01-03.wav,Ravdess,3,male,5,angry
136,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-03-02-01-01-03.wav,Ravdess,3,male,3,happy
137,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-05-02-01-02-03.wav,Ravdess,3,male,5,angry
138,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-04-02-01-02-03.wav,Ravdess,3,male,4,sad
139,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-03-01-01-01-03.wav,Ravdess,3,male,3,happy
140,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-01-01-01-01-03.wav,Ravdess,3,male,1,neutral
141,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-02-01-02-02-03.wav,Ravdess,3,male,2,calm
142,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-03-02-01-02-03.wav,Ravdess,3,male,3,happy
143,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-02-02-02-02-03.wav,Ravdess,3,male,2,calm
144,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-05-02-02-01-03.wav,Ravdess,3,male,5,angry
145,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-03-02-02-02-03.wav,Ravdess,3,male,3,happy
146,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-04-01-01-01-03.wav,Ravdess,3,male,4,sad
147,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-02-01-02-01-03.wav,Ravdess,3,male,2,calm
148,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-02-02-01-01-03.wav,Ravdess,3,male,2,calm
149,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-05-01-01-01-03.wav,Ravdess,3,male,5,angry
150,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-05-02-02-02-03.wav,Ravdess,3,male,5,angry
151,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-04-01-02-01-03.wav,Ravdess,3,male,4,sad
152,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-02-01-01-01-03.wav,Ravdess,3,male,2,calm
153,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-03-01-01-02-03.wav,Ravdess,3,male,3,happy
154,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-02-02-01-02-03.wav,Ravdess,3,male,2,calm
155,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-03-01-02-01-03.wav,Ravdess,3,male,3,happy
156,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-08-02-02-02-03.wav,Ravdess,3,male,8,surprised
157,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-06-01-02-02-03.wav,Ravdess,3,male,6,fearful
158,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-08-02-01-01-03.wav,Ravdess,3,male,8,surprised
159,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-08-01-01-02-03.wav,Ravdess,3,male,8,surprised
160,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-06-01-01-02-03.wav,Ravdess,3,male,6,fearful
161,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-08-01-01-01-03.wav,Ravdess,3,male,8,surprised
162,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-06-01-01-01-03.wav,Ravdess,3,male,6,fearful
163,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-07-01-02-01-03.wav,Ravdess,3,male,7,disgust
164,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-07-02-01-02-03.wav,Ravdess,3,male,7,disgust
165,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-08-01-02-01-03.wav,Ravdess,3,male,8,surprised
166,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-07-01-01-02-03.wav,Ravdess,3,male,7,disgust
167,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-08-02-01-02-03.wav,Ravdess,3,male,8,surprised
168,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-07-02-02-02-03.wav,Ravdess,3,male,7,disgust
169,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-06-02-02-01-03.wav,Ravdess,3,male,6,fearful
170,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-07-01-02-02-03.wav,Ravdess,3,male,7,disgust
171,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-07-02-01-01-03.wav,Ravdess,3,male,7,disgust
172,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-07-02-02-01-03.wav,Ravdess,3,male,7,disgust
173,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-06-02-02-02-03.wav,Ravdess,3,male,6,fearful
174,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-06-02-01-01-03.wav,Ravdess,3,male,6,fearful
175,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-08-01-02-02-03.wav,Ravdess,3,male,8,surprised
176,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-06-01-02-01-03.wav,Ravdess,3,male,6,fearful
177,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-06-02-01-02-03.wav,Ravdess,3,male,6,fearful
178,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-07-01-01-01-03.wav,Ravdess,3,male,7,disgust
179,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_03/03-01-08-02-02-01-03.wav,Ravdess,3,male,8,surprised
180,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-04-01-01-01-04.wav,Ravdess,4,female,4,sad
181,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-04-02-02-02-04.wav,Ravdess,4,female,4,sad
182,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-03-01-01-02-04.wav,Ravdess,4,female,3,happy
183,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-04-02-01-02-04.wav,Ravdess,4,female,4,sad
184,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-05-01-01-02-04.wav,Ravdess,4,female,5,angry
185,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-02-01-01-01-04.wav,Ravdess,4,female,2,calm
186,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-02-02-02-02-04.wav,Ravdess,4,female,2,calm
187,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-01-01-02-02-04.wav,Ravdess,4,female,1,neutral
188,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-02-02-01-02-04.wav,Ravdess,4,female,2,calm
189,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-02-01-02-01-04.wav,Ravdess,4,female,2,calm
190,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-05-01-01-01-04.wav,Ravdess,4,female,5,angry
191,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_04/03-01-03-01-02-01-04.wav,Ravdess,4,female,3,happy
